DBH_in,HeighttoTop_ft,Species,CanopyWidth_ft,MostSignificantDefect,Failure_Standardized,ProbabilityofFailure
24.7,37.5,Live oak,,"",none,2
19,28.5,Live oak,,"",none,1
14,29,Live oak,,"",none,1
19.5,27.5,Live oak,,"",none,1
10,34,red maple,,"",none,2
18,22.5,Live oak,,"",none,1
3,11,Live oak,,"",none,2
16,26.5,Live oak,,"",none,2
14,28,Live oak,,"",none,1
16.5,27.5,Live oak,,"",none,1
15.4,28,Live oak,,"",none,1
15.5,42.5,slash pine,,"",none,2
13.5,25.5,Live oak,,"",none,1
19.1,36.5,Live oak,,"",none,1
20.5,39,Live oak,,"",none,1
17.2,38,Live oak,,"",none,2
18,43.5,Live oak,,"",none,2
15,24,Live oak,,"",none,1
18.5,31.5,Live oak,,"",none,2
13.5,24,Live oak,,"",none,1
23.5,31.5,Live oak,,"",none,1
25.5,44.5,Live oak,,"",none,1
8.5,18.5,Live oak,,"",none,1
17,28,Live oak,,"",none,1
12,25.5,Live oak,,"",none,1
0.5,3,Crapemyrtle,,"",none,1
24.5,43,Laurel Oak,,"",none,2
3.5,15,Camphor Tree,,"",none,1
14.5,32,Live oak,,"",none,2
16.5,30.5,Live oak,,"",none,1
14.2,27,Live oak,,"",none,1
12.4,27.5,Live oak,,"",none,1
1.7,12.5,Crapemyrtle,,"",none,1
31.5,48,Live oak,,"",none,1
20.8,42,southern magnolia,,"",none,2
17,26,Live oak,,"",none,1
7,19.5,Live oak,,"",none,1
4,15,Crapemyrtle,,"",none,1
8,23,Flamegold,,"",whole,1
15,32,Live oak,,"",whole,1
31,46,Laurel Oak,,"",branch,2
11,42,slash pine,,"",whole,2
2.5,15,Crapemyrtle,,"",none,1
14.8,30,Live oak,,"",none,1
18.1,35.5,Live oak,,"",none,2
12.5,28,Live oak,,"",none,2
26.2,50.5,Laurel Oak,,"",none,1
17.6,33.5,Live oak,,"",none,2
15,37.5,Flamegold,,"",none,2
15.5,30.5,Live oak,,"",none,1
15,25.5,Live oak,,"",none,2
9,22,Live oak,,"",none,2
2,12,Live oak,,"",none,1
2,12,Live oak,,"",none,1
11.5,24,Live oak,,"",none,1
21.2,44.5,Live oak,,"",none,1
9.6,35.5,Live oak,,"",none,1
17.3,48.5,Live oak,,"",none,1
12.2,27.5,Laurel Oak,,"",none,1
9,17.5,Live oak,,"",none,1
12.3,24.5,Live oak,,"",none,2
3,12,Flamegold,,"",none,2
38,47,Live oak,,"",none,2
18.3,36,Live oak,,"",none,1
14,29.5,Live oak,,"",none,1
26,26,Yew Podocarpus,,"",none,1
26,26,Yew Podocarpus,,"",none,2
4,10,Live oak,,"",none,1
9.5,23,Live oak,,"",none,1
15,28,Live oak,,"",none,2
8,21,Live oak,,"",none,1
10.5,21,Flamegold,,"",none,2
37.2,63.5,Live oak,,"",none,2
4,18,slash pine,,"",none,1
26,46.5,Laurel Oak,,"",branch,2
21.5,44.5,Laurel Oak,,"",whole,1
11.4,20,Live oak,,"",branch,1
20,36,Live oak,,"",branch,1
32.6,51,Laurel Oak,,"",branch,2
8,28.5,Live oak,,"",none,1
2.5,15,southern magnolia,,"",none,1
47,57.5,Live oak,,"",none,2
4,18,slash pine,,"",none,1
10.5,26.5,Live oak,,"",none,1
3,9,Arborvitae,,"",none,1
2,10,Arborvitae,,"",none,1
20,39.5,Live oak,,"",none,2
5.5,16,southern magnolia,,"",none,2
12,28,Live oak,,"",none,1
16,42.5,southern magnolia,,"",none,2
15.9,32.5,Live oak,,"",none,1
22,33,Flamegold,,"",whole,3
34.3,47.5,Live oak,,"",branch,2
14,23.5,Live oak,,"",none,2
10.9,22.5,Live oak,,"",none,2
13.6,28.5,Live oak,,"",none,2
13.5,33.5,Live oak,,"",none,1
9.5,24,Live oak,,"",none,1
21.5,27.5,Live oak,,"",none,2
18.5,32,Laurel Oak,,"",none,2
17.8,44,Laurel Oak,,"",none,2
2.5,10,Live oak,,"",whole,3
48,51,Laurel Oak,,"",branch,3
27,48.5,Laurel Oak,,"",branch,2
19.4,31.5,Live oak,,"",branch,1
2.5,10,Live oak,,"",whole,3
37,62.5,Live oak,,"",branch,1
1,6,Crapemyrtle,,"",whole,1
9.5,25.5,Live oak,,"",none,2
13.7,24,Live oak,,"",none,2
3.1,12,Crapemyrtle,,"",none,1
17.5,40,Live oak,,"",none,2
13.4,30,Live oak,,"",none,2
18.2,38.5,Live oak,,"",none,2
15.1,34,Live oak,,"",none,1
9.5,16.5,Live oak,,"",none,1
12,24,Live oak,,"",none,1
26.3,53.5,Live oak,,"",none,2
15.9,42,Live oak,,"",none,1
22,36,Live oak,,"",none,2
19,48.5,Laurel Oak,,"",none,1
18,56,Live oak,,"",none,2
18.5,28.5,Live oak,,"",none,1
19,28.5,Live oak,,"",none,1
8.8,28.5,Chinese elm,,"",none,2
24.1,39.5,Live oak,,"",none,2
26,48.5,Laurel Oak,,"",branch,1
17.6,47.5,Laurel Oak,,"",branch,1
13.7,24,Live oak,,"",branch,2
20.6,44.5,Live oak,,"",branch,2
54,64.5,Laurel Oak,,"",whole,2
67,51,Live oak,,"",branch,2
20.5,37,Laurel Oak,,"",branch,2
5.8,17.5,Yellow Tabebuia,,"",none,1
3.5,12.5,Yellow Tabebuia,,"",none,1
10.8,29.5,Live oak,,"",none,1
6.1,21.5,Live oak,,"",none,2
6.8,21,Live oak,,"",none,1
5.8,16.5,Live oak,,"",none,1
3.2,11.5,Yellow Tabebuia,,"",none,1
3,11.5,Yellow Tabebuia,,"",none,2
3,10.5,Yellow Tabebuia,,"",none,2
10.2,30,Live oak,,"",none,2
7.2,23.5,Live oak,,"",none,2
3,12.5,Yellow Tabebuia,,"",none,2
9.8,24,Live oak,,"",none,2
3,9,Yellow Tabebuia,,"",none,2
5,12.5,Live oak,,"",none,2
9.7,24.5,Live oak,,"",none,1
5.6,16,Live oak,,"",none,1
2.5,11,Yellow Tabebuia,,"",none,1
4.2,14,Yellow Tabebuia,,"",none,2
3.9,15.5,Yellow Tabebuia,,"",none,1
7.2,22.5,Live oak,,"",none,1
8,23.5,Live oak,,"",none,1
4,27.5,Live oak,,"",none,2
3,14.5,Live oak,,"",none,2
11.6,40,slash pine,,"",none,2
36.6,48.5,Live oak,,"",none,1
24.5,40.5,Live oak,,"",none,1
32.1,40,Live oak,,"",none,2
32.1,37,Live oak,,"",none,2
49,74,Live oak,,"",none,2
2.2,16,Crapemyrtle,,"",none,1
10.6,49,slash pine,,"",none,2
16.4,44,slash pine,,"",none,2
20.6,32.5,Laurel Oak,,"",none,2
0.5,5,Crapemyrtle,,"",none,1
51.9,55.5,Live oak,,"",none,2
38.7,40,Live oak,,"",none,2
3,24.5,Carolina Laurelcherry,,"",none,1
3,22,Carolina Laurelcherry,,"",none,1
3,22,Carolina Laurelcherry,,"",none,1
3,24.5,Carolina Laurelcherry,,"",none,2
1,12,Carolina Laurelcherry,,"",none,1
1,12,Carolina Laurelcherry,,"",none,1
1,12,Carolina Laurelcherry,,"",none,2
1,12,Carolina Laurelcherry,,"",none,2
4.8,13.5,Brazilian Pepper,,"",none,2
29.5,45,Live oak,,"",none,2
47,45.5,Live oak,,"",none,2
3.1,20,Oleander,,"",none,2
68.7,45,Live oak,,"",none,2
26.7,45,Live oak,,"",none,2
32.2,46,slash pine,,"",none,2
6,27.5,slash pine,,"",none,2
8.8,36.5,slash pine,,"",none,2
41.3,44.5,Live oak,,"",none,2
41.2,57.5,Live oak,,"",none,2
45.7,62.5,Laurel Oak,,"",none,2
16.4,32,Laurel Oak,,"",none,2
53,58.5,Live oak,,"",none,2
1.5,15,Carolina Laurelcherry,,"",none,1
1.8,10,Flamegold,,"",none,1
21,49.5,Melaleuca spp.,,"",none,2
21,49.5,Melaleuca spp.,,"",none,2
21,49.5,Melaleuca spp.,,"",none,2
21,49.5,Melaleuca spp.,,"",none,2
21,49.5,Melaleuca spp.,,"",none,2
21,49.5,Melaleuca spp.,,"",none,2
21,49.5,Melaleuca spp.,,"",none,2
33,49.5,Melaleuca spp.,,"",none,2
26.7,30,Live oak,,"",none,2
14.3,30,Live oak,,"",none,2
40,62,Live oak,,"",none,2
17.5,52.5,slash pine,,"",none,2
1.5,12.5,Chinese elm,,"",none,1
3.5,20,Arborvitae,,"",none,1
3.5,20,Arborvitae,,"",none,1
1.5,12.5,Chinese elm,,"",none,1
3.5,20,Arborvitae,,"",none,1
3,20,Arborvitae,,"",none,1
3,20,Arborvitae,,"",none,1
3,20,Arborvitae,,"",none,1
3,20,Arborvitae,,"",none,1
3,20,Arborvitae,,"",none,1
1.5,12.5,Chinese elm,,"",none,1
16,34,Live oak,,"",none,1
19.5,50,Laurel Oak,,"",none,2
3,12,Brazilian Pepper,,"",none,1
3,15,Arborvitae,,"",none,1
3,12,Brazilian Pepper,,"",none,1
3,7,Brazilian Pepper,,"",none,1
35.3,45,Live oak,,"",none,2
36.9,47.5,Live oak,,"",none,1
2.6,12,Live oak,,"",whole,1
7,23.5,Live oak,,"",whole,1
2.7,10,Yellow Tabebuia,,"",whole,3
3.4,13,Yellow Tabebuia,,"",whole,1
5.2,15.5,Yellow Tabebuia,,"",whole,1
2.6,15,Yellow Tabebuia,,"",whole,2
2.5,11,Live oak,,"",whole,2
2.7,11,Live oak,,"",whole,1
24,51.5,slash pine,,"",branch,2
46,59,Live oak,,"",branch,2
32.5,52.5,Live oak,,"",whole,2
3,10,Carolina Laurelcherry,,"",whole,1
4.5,25,Brazilian Pepper,,"",whole,1
21,49.5,Melaleuca spp.,,"",branch,2
33,49.5,Melaleuca spp.,,"",branch,2
43.5,52,Live oak,,"",branch,2
41.5,50,Live oak,,"",branch,2
38.5,50,Live oak,,"",branch,2
11,21,Live oak,,"",branch,2
51.8,40,Live oak,,"",branch,2
24.5,51,Laurel Oak,,"",branch,1
21.5,37.5,Laurel Oak,,"",branch,3
13.4,25,slash pine,,"",none,2
48,63.5,Live oak,,"",branch,2
48.5,54.5,Live oak,,"",branch,2
20,36.5,Live oak,,"",branch,2
1,7.5,Crapemyrtle,,"",none,1
1,7,Norfolk Island Pine,,"",none,1
1,7,Norfolk Island Pine,,"",none,1
10.2,53.5,Laurel Oak,,"",none,1
8.9,24,Live oak,,"",none,1
10,24,Live oak,,"",none,2
26,27,Live oak,,"",none,
1,7,southern magnolia,,"",none,1
11,44.5,Laurel Oak,,"",none,1
11.4,50.5,Laurel Oak,,"",none,1
14.7,60,Laurel Oak,,"",none,2
1,7,Crapemyrtle,,"",none,1
3,20,Brazilian Pepper,,"",none,2
19.6,32,southern magnolia,,"",none,2
5,22,Brazilian Pepper,,"",none,1
6.9,21.5,Laurel Oak,,"",none,1
20.3,41,Live oak,,"",branch,2
13,48,Melaleuca spp.,,"",none,3
19.4,52.5,Laurel Oak,,"",none,2
1,7,Brazilian Pepper,,"",none,1
5,25,Brazilian Pepper,,"",none,3
16.6,33.5,Laurel Oak,,"",none,2
18.2,43,Laurel Oak,,"",none,2
26.5,41,Live oak,,"",none,3
11,48,Melaleuca spp.,,"",none,3
13,48,Melaleuca spp.,,"",none,3
13,48,Melaleuca spp.,,"",none,3
24,31,Brazilian Pepper,,"",none,2
13,48,Melaleuca spp.,,"",none,3
1,7,Red Mulberry,,"",whole,1
21.4,42,Laurel Oak,,"",branch,1
13,48,Melaleuca spp.,,"",none,3
13,48,Melaleuca spp.,,"",none,3
13,48,Melaleuca spp.,,"",none,3
13,48,Melaleuca spp.,,"",none,3
13,48,Melaleuca spp.,,"",none,3
32.5,42,Laurel Oak,,"",branch,2
13,48,Melaleuca spp.,,"",none,3
13,48,Melaleuca spp.,,"",none,3
18.8,30,Camphor Tree,,"",none,2
24,48,slash pine,,"",none,3
40.4,47.5,Live oak,,"",none,2
1,12,Brazilian Pepper,,"",none,1
12.3,30,southern magnolia,,"",none,2
36.1,44.5,Live oak,,"",none,3
38,55,Live oak,,"",none,2
22.2,40,Live oak,,"",none,3
1.8,8,Yellow Tabebuia,,"",none,3
13.6,30,Chinaberry,,"",none,3
41,54,Live oak,,"",none,2
34,64,Live oak,,"",none,3
20.3,41,Laurel Oak,,"",none,2
19.6,35.5,Laurel Oak,,"",none,2
23.6,46,Laurel Oak,,"",none,2
11,47,Laurel Oak,,"",none,2
25.6,48,Laurel Oak,,"",none,2
20,25,Laurel Oak,,"",none,2
36,57.5,Laurel Oak,,"",branch,2
13.9,20,Laurel Oak,,"",none,4
15.9,42.5,Live oak,,"",none,2
11.8,25,Laurel Oak,,"",none,2
8,25,Laurel Oak,,"",none,3
7.5,22.5,Live oak,,"",none,2
9.2,24.5,Live oak,,"",none,2
8,21,Live oak,,"",none,2
21.9,45,Live oak,,"",none,3
28,48,Melaleuca spp.,,"",whole,3
11,48,Melaleuca spp.,,"",whole,3
13,48,Melaleuca spp.,,"",branch,3
7.5,18,Live oak,,"",none,2
12,32,Live oak,,"",none,1
11.5,36,Live oak,,"",none,2
13.3,38,Live oak,,"",none,2
17.7,55,Laurel Oak,,"",none,2
13,42,Live oak,,"",none,2
21.7,42,Laurel Oak,,"",none,2
15.3,31.5,Live oak,,"",none,2
10,35.5,Live oak,,"",none,3
6.8,23.5,Live oak,,"",none,1
8,27,Live oak,,"",none,2
13,48,Melaleuca spp.,,"",whole,3
19.6,38.5,red maple,,"",branch,3
31.4,60,Laurel Oak,,"",branch,2
36,45,Laurel Oak,,"",branch,3
32.5,43.5,Laurel Oak,,"",whole,4
15.7,40.5,Laurel Oak,,"",whole,2
19.1,47.5,Laurel Oak,,"",branch,2
16.5,36,Laurel Oak,,"",branch,2
20.8,25,Laurel Oak,,"",branch,3
29.5,45,Laurel Oak,,"",branch,4
27,42,Live oak,,"",branch,2
33.6,42,Live oak,,"",whole,3
21.6,45.5,Laurel Oak,,"",branch,2
24.5,45.5,Laurel Oak,,"",branch,2
33,35,Camphor Tree,21,Poor Tree Architecture,none,3
42,32.5,Camphor Tree,35,Poor Tree Architecture,none,3
21.3,32.5,Camphor Tree,47,Weak Branch Union,none,3
47,54,Camphor Tree,70,Poor Tree Architecture,none,2
25.3,62,Laurel Oak,44,Weak Branch Union,none,2
19,44,Laurel Oak,40,Decay,none,3
39,39,Camphor Tree,48,Poor Tree Architecture,none,3
19.5,30.5,Laurel Oak,34,Poor Tree Architecture,none,3
5,11,Crapemyrtle,9,Poor Tree Architecture,none,1
3.8,10,Crapemyrtle,11,Poor Tree Architecture,none,1
5.4,11,Crapemyrtle,9,Poor Tree Architecture,none,1
25.3,56,Live oak,52,Weak Branch Union,none,1
2.7,14,Live oak,12,Weak Branch Union,none,1
14.2,27.5,Yew Podocarpus,22,Weak Branch Union,none,1
18.6,42,Laurel Oak,30,Dead,none,3
16.6,25,Camphor Tree,25,Decay,none,3
2,14.5,Live oak,12,Weak Branch Union,none,1
22,49.5,Live oak,63,Weak Branch Union,none,2
24.8,21,Camphor Tree,40,Decay,none,2
4.7,21,Live oak,12,Weak Branch Union,none,1
33.9,53,Live oak,57,Weak Branch Union,none,1
9.4,21.5,Live oak,22,Weak Branch Union,none,2
2.3,13,Crapemyrtle,14,Poor Tree Architecture,none,1
4.2,34,Live oak,10,Weak Branch Union,none,1
4.1,25,Live oak,12,Weak Branch Union,none,1
4.7,33.5,Live oak,13,Weak Branch Union,none,1
6.7,18.5,Live oak,19,Weak Branch Union,none,1
5.7,20.5,Live oak,17,Weak Branch Union,none,1
6.7,17.5,Live oak,17,Weak Branch Union,none,1
8.5,20.5,Live oak,24,Weak Branch Union,none,1
3,16.5,Live oak,13,Weak Branch Union,none,1
4.2,6,Crapemyrtle,8,Poor Tree Architecture,none,1
10.3,31,Live oak,24,Weak Branch Union,none,1
8.8,23,Live oak,19,Weak Branch Union,none,1
4.4,19,southern magnolia,12,Weak Branch Union,none,1
1.8,10.5,Crapemyrtle,6,Poor Tree Architecture,none,1
7.8,26,Live oak,26,Weak Branch Union,none,1
10.8,33,Live oak,28,Weak Branch Union,none,2
4.1,16.5,southern magnolia,15,Weak Branch Union,none,2
4.4,11.5,Live oak,15,Decay,none,1
1,8,Crapemyrtle,11,Poor Tree Architecture,none,1
16.9,43,Live oak,38,Weak Branch Union,none,1
13.2,33,Live oak,34,Weak Branch Union,none,2
11.9,43,Live oak,31,Weak Branch Union,none,2
8.5,41,Live oak,37,Weak Branch Union,none,2
8.4,32.5,Live oak,20,Weak Branch Union,none,1
11.8,32,Live oak,33,Decay,none,2
15,43,Live oak,43,Weak Branch Union,none,1
13.4,38.5,Live oak,34,Weak Branch Union,none,1
9.4,33,Live oak,27,Weak Branch Union,none,1
14.3,38.5,Live oak,36,Weak Branch Union,none,1
25.7,53,Live oak,77,Weak Branch Union,none,1
2.8,18.5,red maple,13,Weak Branch Union,none,1
3.6,10.5,Chinese elm,12,Poor Tree Architecture,none,2
13.1,30.5,Live oak,26,Root Problems,none,2
7.2,30.5,Live oak,22,Weak Branch Union,none,1
15.6,40,Laurel Oak,34,Dead,none,3
28.2,46.5,Live oak,50,Decay,none,1
17,43.5,Live oak,40,Dead,none,3
5.8,11.5,Chinese elm,19,Poor Tree Architecture,none,2
17.4,31,Live oak,25,Decay,none,1
6.6,20.5,Live oak,23,Weak Branch Union,none,1
21.4,42.5,Live oak,60,Weak Branch Union,none,1
2.3,13.5,baldcypress,9,"",none,1
2.3,10.5,baldcypress,11,"",none,1
3.4,16,baldcypress,9,"",none,1
3.2,14.5,baldcypress,10,Root Problems,none,2
8.6,24.5,winged elm,34,Weak Branch Union,none,2
4,18.5,baldcypress,15,"",none,1
3,15.5,baldcypress,9,"",none,1
1,7.5,Crapemyrtle,13,Poor Tree Architecture,none,1
2.5,16.5,Crapemyrtle,18,Poor Tree Architecture,none,1
3.2,14,baldcypress,9,"",none,1
19.2,34,sand live oak,45,Decay,none,3
6.5,20.5,Live oak,18,Dead,none,3
1,7,Japanese Privet,9,Poor Tree Architecture,none,1
6.3,18.5,Live oak,15,Dead,none,3
0.8,6,Japanese Privet,9,Poor Tree Architecture,none,1
1.3,14,Crapemyrtle,12,Weak Branch Union,none,1
8.4,25,winged elm,39,Weak Branch Union,none,2
13.6,38,Live oak,24,Weak Branch Union,none,1
6.5,20,Live oak,24,Root Problems,none,1
7.1,20,Live oak,20,Weak Branch Union,none,1
21.5,53,Live oak,42,Weak Branch Union,none,1
0.2,4,Carolina laurelcherry,5,"",none,1
4.3,23.5,Live oak,12,Weak Branch Union,none,1
13.1,41.5,American elm,29,Dead,none,3
20,46,Laurel Oak,34,Weak Branch Union,branch,2
17.3,37.5,Laurel Oak,39,Weak Branch Union,branch,2
16.9,32.5,Live oak,51,Weak Branch Union,none,1
20.7,42.5,American elm,49,Weak Branch Union,none,2
7,17,Live oak,21,Dead,none,3
24.3,27.5,Camphor Tree,34,Dead,none,3
4.3,29,Live oak,11,Weak Branch Union,none,1
20.6,18.5,Camphor Tree,19,Decay,none,2
4.7,11.5,Crapemyrtle,13,Weak Branch Union,none,1
8.6,25,Live oak,26,Weak Branch Union,none,2
1.3,11,Crapemyrtle,12,Poor Tree Architecture,none,1
13.9,38.5,Live oak,47,Weak Branch Union,none,2
20.8,44.5,Live oak,31,Weak Branch Union,none,1
15.8,40,Live oak,31,Weak Branch Union,none,1
15.5,26.5,Live oak,29,Weak Branch Union,none,1
33.2,30,Camphor Tree,39,Dead,none,3
2.1,12.5,Live oak,11,Weak Branch Union,none,1
15.5,27,Live oak,39,Poor Tree Architecture,none,1
12,37,Live oak,32,Weak Branch Union,none,1
10.6,22,Live oak,26,Poor Tree Architecture,none,1
9.3,17.5,Live oak,23,Weak Branch Union,none,2
22.9,28.5,Camphor Tree,27,"",branch,3
16.8,29,Camphor Tree,33,Dead,branch,3
12.8,36.5,Live oak,35,Weak Branch Union,branch,2
13.4,33,Live oak,33,Weak Branch Union,branch,1
23,45,Live oak,39,Weak Branch Union,branch,2
25.8,42.5,Live oak,62,Weak Branch Union,branch,2
31.5,51.5,Live oak,48,Weak Branch Union,branch,1
3.2,12.5,Live oak,13,Weak Branch Union,whole,2
8.5,27,winged elm,39,Weak Branch Union,whole,2
3,13,Live oak,11,Poor Tree Architecture,whole,1
9.5,25.5,Live oak,19,Dead,branch,3
29.2,50.5,Live oak,50,Dead,whole,3
20,33,Live oak,40,Dead,branch,3
21.4,48,Live oak,43,Weak Branch Union,branch,1
7.7,21.5,Live oak,19,"",none,3
4.6,25,Live oak,11,Weak Branch Union,none,1
18.1,53,Live oak,34,Dead,none,3
4.5,23,Live oak,13,"",none,1
15.5,37.5,Live oak,34,Weak Branch Union,none,2
9,17,Live oak,20,Weak Branch Union,none,2
13.6,32.5,Live oak,29,Dead,none,3
12.7,30.5,Live oak,34,Weak Branch Union,none,1
2.5,14.5,Live oak,10,Weak Branch Union,none,1
1.1,6.5,Crapemyrtle,7,Weak Branch Union,none,1
34.5,55,Live oak,60,Dead,none,2
10.7,24.5,Live oak,22,Weak Branch Union,none,2
3.2,19.5,Live oak,14,Weak Branch Union,none,1
28.8,51.5,Live oak,35,Weak Branch Union,none,1
0.3,5,Live oak,5,Leaning Tree,none,1
4.6,24,Live oak,12,Weak Branch Union,none,1
24.5,45.5,sand live oak,40,Decay,none,3
4.2,22.5,Live oak,11,Weak Branch Union,none,1
4,19.5,Live oak,13,Weak Branch Union,none,1
5.2,22.5,Live oak,14,Weak Branch Union,none,1
13.3,36,Live oak,45,Leaning Tree,none,1
25.2,58.5,Live oak,40,Weak Branch Union,none,1
4.3,23,Live oak,12,Weak Branch Union,none,1
1.5,13.5,surinam cherry,11,Poor Tree Architecture,none,1
18.1,47.5,Live oak,44,Decay,none,2
16.1,47,Laurel Oak,40,Dead,none,3
5,26,Live oak,12,Poor Tree Architecture,none,1
9.5,31.5,Live oak,27,Weak Branch Union,none,1
1.5,19.5,surinam cherry,13,Weak Branch Union,none,1
0.8,7.5,surinam cherry,5,Poor Tree Architecture,none,2
23.6,65,Live oak,46,Weak Branch Union,none,1
11.3,47,Live oak,23,Poor Tree Architecture,none,2
1.5,18.5,surinam cherry,8,Leaning Tree,none,1
24.4,61.5,Live oak,44,Dead,none,3
8.4,22,Live oak,23,Weak Branch Union,none,1
28.8,58,Live oak,72,Dead,none,3
10.8,30,Live oak,31,Weak Branch Union,none,1
18.3,50,Live oak,41,Weak Branch Union,none,1
2,15.5,surinam cherry,10,Poor Tree Architecture,none,2
4.5,26.5,Live oak,12,Poor Tree Architecture,none,1
8.6,17,Crapemyrtle,22,Poor Tree Architecture,none,1
4.8,22,Live oak,13,Weak Branch Union,none,1
6.5,23,Live oak,29,Poor Tree Architecture,none,1
9.2,17,Crapemyrtle,13,Poor Tree Architecture,none,1
4.4,20.5,Live oak,16,Weak Branch Union,none,1
8.8,17,Crapemyrtle,14,Poor Tree Architecture,none,1
4.8,21,Live oak,12,Poor Tree Architecture,none,1
4.2,23,Live oak,12,Weak Branch Union,none,1
4.5,25,Live oak,15,Weak Branch Union,none,1
6.5,18.5,Live oak,17,Poor Tree Architecture,none,1
25,51.5,Live oak,53,Dead,none,3
1.6,7.5,Crapemyrtle,7,Decay,none,3
13.1,36,Chinese elm,29,Poor Tree Architecture,none,1
21.8,49.5,Live oak,55,Weak Branch Union,none,1
4.8,24.5,Live oak,12,Weak Branch Union,none,1
32.3,64.5,Live oak,86,Dead,none,3
5,16,Live oak,16,"",none,3
23.1,47,Laurel Oak,48,Decay,none,3
12,36,Live oak,30,"",none,1
4.2,22,Live oak,11,Weak Branch Union,none,1
5,23.5,Live oak,10,Weak Branch Union,none,1
32.3,42,Live oak,70,Decay,none,2
10,24,Crapemyrtle,19,Dead,none,3
6.2,12,Crapemyrtle,17,Poor Tree Architecture,none,1
11.5,44,Chinese elm,33,Decay,none,1
2.6,11,Live oak,9,Poor Tree Architecture,none,1
8.7,30.5,Live oak,29,Root Problems,none,2
10.3,33.5,Chinese elm,26,Decay,none,1
7,31,Live oak,22,Weak Branch Union,none,1
4.8,21.5,Live oak,13,Weak Branch Union,none,1
3,17.5,Crapemyrtle,22,Poor Tree Architecture,none,1
13,33.5,Live oak,30,Dead,none,3
28,56,Live oak,73,Weak Branch Union,none,2
13.1,23,Live oak,33,Weak Branch Union,none,1
19.5,38.5,Camphor Tree,29,Dead,none,3
10.6,27.5,Crapemyrtle,16,Weak Branch Union,none,1
4.8,20,Live oak,14,Weak Branch Union,none,1
2.8,18,Crapemyrtle,23,Poor Tree Architecture,none,1
26.1,48,Live oak,40,Weak Branch Union,none,1
10,35.5,Chinese elm,12,Poor Tree Architecture,none,3
0.5,7,Crapemyrtle,9,Poor Tree Architecture,none,1
20.5,50,Live oak,40,Weak Branch Union,none,1
1.7,7.5,Crapemyrtle,7,Decay,none,1
0.8,6.5,Crapemyrtle,7,Poor Tree Architecture,none,1
38.5,57,Live oak,70,Dead,none,3
22.3,40.5,Live oak,51,Weak Branch Union,none,1
1.3,4.5,Crapemyrtle,6,Decay,none,2
2.2,10.5,Live oak,8,Weak Branch Union,none,1
13,38,Live oak,30,Poor Tree Architecture,none,1
1,8,Crapemyrtle,7,Decay,none,2
12.8,34.5,Chinese elm,33,Decay,none,2
2.5,7.5,Crapemyrtle,7,Dead,none,3
9.6,21.5,Chinese elm,31,Decay,none,2
2.5,9,Crapemyrtle,17,Decay,none,3
2.5,8.5,Crapemyrtle,11,Decay,none,2
30.5,36.5,Camphor Tree,36,Weak Branch Union,none,2
21,52.5,Live oak,48,Weak Branch Union,none,1
9.8,29,Chinese elm,31,Decay,none,1
1.5,7.5,Crapemyrtle,6,Poor Tree Architecture,none,1
5.7,21.5,Live oak,13,Weak Branch Union,none,1
16,40.5,Live oak,39,Dead,none,3
14.5,24.5,Camphor Tree,25,Weak Branch Union,none,2
14.1,37.5,Live oak,30,Weak Branch Union,none,2
16.8,41,Live oak,40,Poor Tree Architecture,none,1
19.7,39.5,Laurel Oak,41,Weak Branch Union,none,2
16.5,47.5,Live oak,33,Poor Tree Architecture,none,1
1.5,7.5,Crapemyrtle,7,Poor Tree Architecture,none,1
1.8,7,Crapemyrtle,6,Poor Tree Architecture,none,1
14.8,45.5,Live oak,33,Decay,none,3
1.5,9.5,Crapemyrtle,9,Decay,none,2
18.5,47,Live oak,48,Weak Branch Union,none,2
33.9,41.5,Camphor Tree,29,Poor Tree Architecture,none,1
22,39.5,Live oak,43,Dead,none,3
22.8,35.5,Live oak,49,Weak Branch Union,none,1
1.5,6,Crapemyrtle,10,Poor Tree Architecture,none,1
2.3,15,Crapemyrtle,12,Decay,none,2
2.7,12,Live oak,10,Poor Tree Architecture,none,1
11.2,29.5,Laurel Oak,37,Decay,none,2
4.3,17,Live oak,16,Weak Branch Union,none,1
17.5,39.5,Live oak,32,Weak Branch Union,none,1
26.5,45,Live oak,52,Root Problems,none,1
7.3,20,Crapemyrtle,13,Poor Tree Architecture,none,2
13.4,30,Laurel Oak,34,Decay,none,2
1,9.5,surinam cherry,7,Poor Tree Architecture,none,1
4.4,23,Live oak,12,Weak Branch Union,none,1
18.5,36,Live oak,53,Dead,none,3
1.3,7.5,Crapemyrtle,5,Poor Tree Architecture,none,1
6.1,24.5,Live oak,18,Root Problems,none,3
7.6,22.5,Live oak,18,Weak Branch Union,none,1
5.3,21,Chinese elm,27,Root Problems,none,2
4.8,21,Live oak,19,Weak Branch Union,none,1
1.6,9.5,surinam cherry,7,Poor Tree Architecture,none,1
21.1,45.5,Live oak,40,Root Problems,none,2
20,48.5,Camphor Tree,20,Poor Tree Architecture,none,1
13.8,35,Live oak,26,Poor Tree Architecture,none,1
1.3,9.5,surinam cherry,7,Poor Tree Architecture,none,1
7,25.5,Live oak,23,Poor Tree Architecture,none,1
1.2,9.5,surinam cherry,7,"",none,1
1.2,10,surinam cherry,6,Poor Tree Architecture,none,1
4.5,22,Live oak,13,Weak Branch Union,none,1
15.1,23.5,Laurel Oak,21,Decay,none,3
